501
110 弯钢化设备及其加热结构 程立华 深圳南玻应用技术有限公司;中国南玻集团股份有限公司 中国专利 2017-12-07 2018-08-31  收藏 CN207793050U
111 浮法玻璃的缺陷检测方法及装置 施学雨;张福松;刘建伟;杨慧 河北视窗玻璃有限公司;中国南玻集团股份有限公司 中国专利 2018-03-16 2018-08-31  收藏 CN108469437A
112 冷却水包及锡槽设备 曹联会;李文峰;何海龙;纵峰;张清山;贺立侠;武林雨;王长军 中国南玻集团股份有限公司;河北南玻玻璃有限公司 中国专利 2018-06-20 2018-08-28  收藏 CN108455827A
113 一种地面安装光伏电池板的电动清洗装置 宋洪雨 天津南玻节能玻璃有限公司;中国南玻集团股份有限公司 中国专利 2017-09-26 2018-08-28  收藏 CN207770359U
114 降低多晶硅干法回收工艺HCl吸收液中轻组分杂质含量的装置及方法 刘志星;田洪先;高明;矫旭东 宜昌南玻硅材料有限公司;中国南玻集团股份有限公司 中国专利 2018-05-11 2018-08-24  收藏 CN108439411A
115 一种减反射镀膜结构 刘双;张荣光;胡冰;杜彦 天津南玻节能玻璃有限公司;中国南玻集团股份有限公司 中国专利 2018-06-13 2018-08-24  收藏 CN108441837A
116 一种用于玻璃生产中的喷淋装置 何天黎;田富;钟建;解孝辉 吴江南玻华东工程玻璃有限公司;中国南玻集团股份有限公司 中国专利 2017-12-20 2018-08-24  收藏 CN207756557U
117 一种可后续加工的绿色低辐射镀膜玻璃 黄成龙;邓云军;李建根;邓军;李勇 四川南玻节能玻璃有限公司;中国南玻集团股份有限公司 中国专利 2018-05-14 2018-08-17  收藏 CN108407406A
118 玻璃及浮法玻璃 肖子凡;何浩波;陶武刚;王杏娟 中国南玻集团股份有限公司;深圳南玻应用技术有限公司 中国专利 2017-02-08 2018-08-14  收藏 CN108395096A
119 一种拼接镀膜夹层玻璃 崔鹏;唐晶;张勇;付俊涛 吴江南玻华东工程玻璃有限公司;中国南玻集团股份有限公司 中国专利 2017-12-26 2018-07-31  收藏 CN207671937U
120 一种防止玻璃自爆损伤的热浸处理支架 陆军;崔鹏;张衡 吴江南玻华东工程玻璃有限公司;中国南玻集团股份有限公司 中国专利 2017-12-20 2018-07-27  收藏 CN207659317U
501
121 正面和侧面反射色调一致的双银Low-E玻璃 宋保柱;米永江;李奎 吴江南玻华东工程玻璃有限公司;中国南玻集团股份有限公司 中国专利 2017-12-20 2018-07-27  收藏 CN207659331U
122 一种钢化前后颜色一致的单银Low-E玻璃 宋保柱;唐晶;王栋权 吴江南玻华东工程玻璃有限公司;中国南玻集团股份有限公司 中国专利 2017-12-20 2018-07-27  收藏 CN207659332U
123 玻璃测量装置、玻璃上片设备及控制方法 韩全寿;周锐;叶传胜;朱国新 中国南玻集团股份有限公司;深圳南玻应用技术有限公司 中国专利 2017-01-19 2018-07-27  收藏 CN108326843A
124 玻璃、其制备方法、强化玻璃、玻璃板及应用 肖子凡;王杏娟;陶武刚;王明忠;何浩波;邓臻禄;戴斌 中国南玻集团股份有限公司;深圳南玻应用技术有限公司 中国专利 2017-01-16 2018-07-24  收藏 CN108314315A
125 镀膜基材以及离子束源沉积制备镀膜基材的方法 吕宜超;王琦;崔平生;何顺卿;黄剑 中国南玻集团股份有限公司;深圳南玻应用技术有限公司 中国专利 2017-01-16 2018-07-24  收藏 CN108315700A
126 镀膜基材以及离子束源沉积制备镀膜基材的方法 吕宜超;王琦;崔平生;何顺卿;黄剑 中国南玻集团股份有限公司;深圳南玻应用技术有限公司 中国专利 2017-01-16 2018-07-24  收藏 CN108315701A
